,date,avg_review
0,2018-07-07,3.8398818316100445
1,2012-01-03,3.7087967644084934
2,2014-02-05,3.732038834951456
3,2015-01-04,3.6980428704566637
4,2017-01-14,3.7397447584320873
5,2015-09-23,3.76875
6,2015-01-03,3.7485536270582998
7,2015-08-07,3.7652001977261493
8,2016-03-30,3.844465648854962
9,2016-07-25,3.756980802792321
10,2015-06-21,3.6205460434983805
11,2015-08-19,3.712660028449502
12,2014-06-27,3.7032967032967035
13,2009-10-14,3.739669421487603
14,2011-10-27,3.706689536878216
15,2014-10-11,3.7227332457293034
16,2013-06-24,3.703580349708576
17,2014-08-10,3.6919528446950283
18,2016-03-07,3.723394495412844
19,2014-11-12,3.723934426229508
20,2009-10-13,3.824324324324324
21,2012-12-04,3.69273127753304
22,2013-09-04,3.613438045375218
23,2018-07-17,3.782109293421511
24,2015-06-08,3.729813664596273
25,2013-08-15,3.744477172312224
26,2016-11-22,3.85631180919139
27,2014-10-27,3.7279411764705883
28,2015-02-02,3.687683284457478
29,2017-02-19,3.691742477256823
30,2017-01-02,3.6596283783783785
31,2017-05-26,3.7412361623616235
32,2017-05-13,3.7983932670237186
33,2013-10-24,3.7383268482490273
34,2016-10-13,3.7773561037318153
35,2013-11-14,3.71786022433132
36,2017-09-20,3.8530741410488245
37,2018-08-23,3.8168032786885244
38,2018-04-27,3.812104787714544
39,2015-04-15,3.756998213222156
40,2017-07-08,3.8928693278744455
41,2015-03-05,3.8145258103241297
42,2015-08-30,3.7732463295269167
43,2013-12-29,3.6208935611038107
44,2014-06-11,3.752027027027027
45,2014-08-24,3.714956011730205
46,2017-09-08,3.818844643858665
47,2014-04-01,3.734860883797054
48,2012-10-08,3.7663981588032223
49,2012-05-29,3.6556503198294243
50,2016-10-26,3.848961257720382
51,2017-04-08,3.854020007410152
52,2016-05-19,3.801591248135256
53,2015-02-16,3.601818181818182
54,2015-11-18,3.813451776649746
55,2016-05-31,3.7657814540705266
56,2008-12-03,3.9135135135135135
57,2016-01-17,3.7278937381404176
58,2018-03-23,3.8069267515923566
59,2016-07-21,3.799063231850117
60,2016-09-18,3.678556263269639
61,2009-08-03,3.7720588235294117
62,2011-11-30,3.7132018209408195
63,2011-08-24,3.7381864623243932
64,2016-08-25,3.73890608875129
65,2014-07-25,3.7258758451137064
66,2015-12-21,3.6786305908337935
67,2011-03-20,3.8054298642533935
68,2017-08-16,3.787409200968523
69,2013-10-03,3.716804979253112
70,2016-09-06,3.715304182509506
71,2014-05-26,3.6427132303559437
72,2018-02-11,3.7809131261889664
73,2017-12-02,3.7394653375623017
74,2018-05-19,3.7988032909498877
75,2018-07-26,3.8088642659279777
76,2011-10-28,3.646846846846847
77,2017-06-17,3.792508262945281
78,2015-03-19,3.7006451612903226
79,2012-02-01,3.6991643454039
80,2016-11-10,3.7906810035842295
81,2015-10-17,3.755886592984142
82,2013-12-07,3.6823899371069184
83,2017-08-08,3.7945269016697587
84,2012-11-06,3.707808564231738
85,2014-07-13,3.675568181818182
86,2013-04-11,3.698342541436464
87,2016-04-23,3.7037861915367483
88,2017-11-06,3.788978494623656
89,2015-10-08,3.8042602187679906
90,2017-10-11,3.8743249877270496
91,2016-12-19,3.692753623188406
92,2016-04-11,3.7496443812233284
93,2017-08-29,3.801975308641975
94,2016-01-04,3.7432488574989615
95,2018-01-21,3.7677824267782425
96,2016-01-30,3.8213535098781
97,2014-06-28,3.7301996136509983
98,2010-11-22,3.6910569105691056
99,2017-04-19,3.7962962962962963
100,2009-03-01,3.7439024390243905
101,2014-09-25,3.7229938271604937
102,2018-01-10,3.8705823792931806
103,2018-04-04,3.811622464898596
104,2018-03-04,3.7669504888047936
105,2014-02-24,3.75408670931059
106,2014-03-14,3.7377300613496933
107,2018-08-24,3.7659660468876313
108,2012-07-16,3.591721542803387
109,2008-08-20,3.756862745098039
110,2013-05-28,3.586054721977052
111,2014-07-28,3.6997134670487104
112,2016-06-22,3.7320466786355477
113,2013-05-07,3.7463636363636366
114,2012-06-26,3.603875134553283
115,2014-05-25,3.7091033538672145
116,2015-07-03,3.7606232294617565
117,2017-07-28,3.8318279569892475
118,2011-02-14,3.699248120300752
119,2017-04-07,3.8125
120,2012-03-30,3.680263157894737
121,2017-03-27,3.756581786793267
122,2017-06-28,3.782793867120954
123,2013-05-29,3.732128184059162
124,2017-02-09,3.8236559139784947
125,2016-06-11,3.805188679245283
126,2015-04-28,3.801985981308411
127,2016-08-12,3.785746916400183
128,2018-09-22,3.776255707762557
129,2012-05-28,3.663671373555841
130,2014-01-17,3.7918511957484498
131,2016-07-03,3.7708333333333335
132,2017-12-27,3.60608586911213
133,2015-03-18,3.717884130982368
134,2017-08-07,3.7296523517382414
135,2016-07-14,3.7582562747688244
136,2014-11-30,3.6646001239925603
137,2011-01-08,3.7829614604462476
138,2013-01-27,3.68796992481203
139,2015-01-18,3.677012609117362
140,2015-12-20,3.6908500270709257
141,2017-12-16,3.782564622402433
142,2011-05-27,3.6267857142857145
143,2015-05-26,3.760712566201252
144,2014-08-25,3.6948441247002397
145,2013-08-03,3.648
146,2011-01-09,3.670886075949367
147,2013-01-02,3.6666666666666665
148,2014-02-23,3.627981947130883
149,2015-11-06,3.7805145046524355
150,2017-12-29,3.7765220561429094
151,2016-12-04,3.7201946472019465
152,2005-07-10,3.565891472868217
153,2017-01-27,3.853113358169239
154,2017-11-18,3.7696534234995775
155,2017-01-28,3.8178555406011663
156,2017-06-06,3.743436204514049
157,2015-10-23,3.799099606077659
158,2016-07-04,3.6234192037470727
159,2014-12-30,3.681255946717412
