,date,avg_review
0,2018-07-07,3.8857262452909165
1,2014-02-05,3.8112927191679047
2,2015-01-04,3.713472485768501
3,2017-01-14,3.8040103492884865
4,2015-09-23,3.8576358930112167
5,2015-08-07,3.84597875569044
6,2016-07-25,3.8090849242922977
7,2015-08-19,3.8113750899928007
8,2014-06-27,3.7306468716861083
9,2009-10-14,3.672316384180791
10,2011-10-27,3.7202970297029703
11,2014-10-11,3.708675799086758
12,2013-06-24,3.675776397515528
13,2014-08-10,3.7205882352941178
14,2014-11-12,3.7644183773216033
15,2013-09-04,3.674829931972789
16,2018-07-17,3.87984496124031
17,2015-06-08,3.7900677200902932
18,2013-08-15,3.7733333333333334
19,2016-11-22,3.8891843971631204
20,2014-10-27,3.7474747474747474
21,2015-02-02,3.7190265486725664
22,2017-02-19,3.688479262672811
23,2017-01-02,3.6734575087310826
24,2017-05-26,3.840640222686152
25,2016-10-13,3.7950310559006213
26,2018-08-23,3.9416195856873824
27,2018-04-27,3.8880281690140843
28,2015-04-15,3.7906558849955077
29,2017-07-08,3.935515873015873
30,2015-03-05,3.8357798165137615
31,2015-08-30,3.80178671133445
32,2013-12-29,3.5982532751091703
33,2014-08-24,3.6992896606156274
34,2017-09-08,3.9135913591359137
35,2014-04-01,3.7667464114832536
36,2016-10-26,3.8559102674719585
37,2016-05-19,3.8362528560548363
38,2015-02-16,3.617592014971928
39,2015-11-18,3.85053037608486
40,2016-05-31,3.8034643570952698
41,2016-01-17,3.752094627895515
42,2018-03-23,3.8877611940298507
43,2016-07-21,3.8235714285714284
44,2016-09-18,3.73546511627907
45,2011-11-30,3.7022222222222223
46,2011-08-24,3.6505791505791505
47,2014-07-25,3.7560321715817695
48,2015-12-21,3.7270588235294118
49,2011-03-20,3.7992047713717696
50,2017-08-16,3.85
51,2013-10-03,3.7555205047318614
52,2016-09-06,3.820588235294118
53,2014-05-26,3.6223709369024855
54,2018-02-11,3.8261775739891624
55,2012-12-04,3.683012259194396
56,2018-05-19,3.8621794871794872
57,2011-10-28,3.664102564102564
58,2017-06-17,3.8410451823625475
59,2012-02-01,3.6693711967545637
60,2013-12-07,3.7018348623853212
61,2017-08-08,3.919970631424376
62,2012-11-06,3.6844106463878328
63,2014-07-13,3.666406858924396
64,2016-04-23,3.695214105793451
65,2017-11-06,3.828785811732606
66,2016-03-07,3.7292225201072386
67,2017-10-11,3.947533281127643
68,2016-01-04,3.793802145411204
69,2018-01-21,3.771683075480544
70,2016-01-30,3.815101070154578
71,2014-09-25,3.796709753231492
72,2012-05-29,3.609717868338558
73,2018-01-10,3.965062111801242
74,2018-03-04,3.7926628194558947
75,2014-02-24,3.7627291242362526
76,2018-08-24,3.866146848602989
77,2012-07-16,3.6087533156498672
78,2008-08-20,3.6193181818181817
79,2013-05-28,3.5720108695652173
80,2014-07-28,3.722175021240442
81,2016-06-22,3.7639664804469275
82,2012-06-26,3.6280193236714977
83,2014-05-25,3.731864095500459
84,2015-07-03,3.722826086956522
85,2017-07-28,3.857429718875502
86,2011-02-14,3.6495726495726495
87,2017-04-07,3.87227602905569
88,2012-03-30,3.6673306772908365
89,2017-03-27,3.8068833652007648
90,2017-06-28,3.822237017310253
91,2013-05-29,3.774436090225564
92,2016-06-11,3.846685082872928
93,2016-08-12,3.8864751226348986
94,2018-09-22,3.790130151843818
95,2012-05-28,3.6548042704626336
96,2013-05-07,3.7814207650273226
97,2016-07-03,3.837323177366703
98,2017-12-27,3.648228713486638
99,2015-03-18,3.7271028037383176
100,2014-11-30,3.6770921386306004
101,2011-01-08,3.72
102,2013-01-27,3.6619718309859155
103,2015-01-18,3.6897880539499037
104,2015-12-20,3.705109489051095
105,2017-12-16,3.8266369047619047
106,2011-05-27,3.6597938144329896
107,2015-05-26,3.813970588235294
108,2015-01-03,3.7691350342252643
109,2014-08-25,3.7111111111111112
110,2013-08-03,3.700573065902579
111,2011-01-09,3.5860465116279068
112,2014-02-23,3.6131907308377897
113,2015-11-06,3.826232247284879
114,2017-12-29,3.828706128863279
115,2016-03-30,3.8723247232472326
116,2017-01-27,3.920066611157369
117,2017-11-18,3.7764494919306633
118,2017-01-28,3.8360349127182043
119,2017-06-06,3.833457249070632
120,2015-04-28,3.875892857142857
121,2015-10-23,3.851493848857645
122,2012-03-01,3.672932330827068
123,2018-02-23,3.8060288335517694
124,2016-04-11,3.7730147575544626
125,2018-06-09,3.865657059110894
126,2016-11-09,3.7108938547486034
127,2015-10-08,3.8435804701627485
128,2011-04-23,3.6380510440835265
129,2017-05-13,3.8371459694989105
130,2009-08-04,3.6333333333333333
131,2015-10-17,3.7931266846361185
132,2012-09-11,3.6955017301038064
133,2016-07-14,3.831460674157303
134,2018-09-03,3.6793855302279486
135,2017-12-02,3.722186495176849
136,2017-04-30,3.7613365155131264
137,2017-10-25,3.829635499207607
138,2015-04-01,3.8549262994569435
139,2012-09-10,3.6348684210526314
140,2017-10-24,3.828500414250207
141,2018-06-19,3.858111927642736
142,2016-12-04,3.7101063829787235
143,2018-02-02,3.8968824940047964
144,2013-08-04,3.6311053984575836
145,2013-02-21,3.646017699115044
146,2012-10-08,3.7166392092257
147,2015-12-05,3.785823170731707
148,2017-09-20,3.918091168091168
149,2016-09-30,3.7915936952714535
150,2016-05-07,3.7298888162197517
151,2013-03-18,3.6858638743455496
152,2012-03-02,3.668831168831169
153,2012-08-15,3.684294871794872
154,2014-06-28,3.7578268876611416
155,2015-06-09,3.81767955801105
156,2017-02-09,3.868333333333333
157,2013-01-02,3.6383233532934134
158,2014-05-07,3.724971231300345
